article_id,title,author
1,"Perspectives On Happiness: Concepts, Conditions And Consequences",Soren Harnow Klausen
2,Measuring Happiness In The Social Sciences: An Overview,"Delsignore Gabriela, Aguilar Latorre Alejandra and Oliván Blázquez Bárbara"
3,Stability Of Happiness. Theories And Evidence On Whether Happiness Can Change,"Sheldon, Kennon M. and Lucas, Richard E."
4,"Contextual, Embodied And Clinical Joy.","Strawn, Brad D."
5,Children's Perspectives On Happiness And Subjective Well-being In Preschool,Anette Boye Koch
6,Personal Or Interpersonal Construal Of Happiness: A Cultural Psychological Perspective,Yukiko Uchida and Yuji Ogihara
7,My Best Possible Learning Self: Primary School Children’s,"Dr Mia O’Brien, Dr Levon Blue and Dagmar Rowlands"
8,A Global History Of Happiness,"Tim Lomas, Brendan W. Case, Flynn J. Cratty and TylerJ.VanderWeele"
9,Happiness at work: A cross-cultural validation of happiness at work scale,"Nina Fitriana, Fonny Dameaty Hutagalung, Zainudin Awang , and Sumaia Mohammed Zaid"
10,On the Measurement of Happiness and of its Inequality,Valérie Bérenger and Jacques Silber
,,
