ngram,count
volume,7
cognition,6
virtue,6
body,5
brain,5
common,5
journal,5
king,5
unhappiness,5
adjustment,4
chicago,4
contextual,4
contextualization,4
experience,4
hope,4
misery,4
persons,4
press,4
psychology,4
religion,4
simply,4
traditions,4
understanding,4
bodily,3
capacity,3
cognitive,3
comes,3
common unhappiness,3
cure,3
cure soul,3
definition,3
explored,3
expression,3
feel,3
function,3
homepage,3
idea,3
impact,3
interdividual,3
interested,3
interpersonal,3
inward,3
issue,3
justice,3
lead,3
neurotic,3
neurotic misery,3
patients,3
psychotherapy,3
religious,3
science,3
sense,3
soul,3
suggesting,3
tension,3
theory,3
western,3
affects,2
anthropology,2
areas,2
basis,2
begin,2
bodies,2
