ngram,count
happiness,186
inequality,169
ordinal,102
satisfaction,99
indices,98
level,58
value,58
cardinal,51
bound,46
measure,45
actual,38
measurement,36
categories,32
health,30
measures,30
variables,28
happiness satisfaction,27
level happiness,26
economics,24
inequality indices,23
deviation,22
individual,22
inequality happiness,21
ordinal variables,21
status,21
bound bound,20
derived,20
value bound,20
half,19
inequality satisfaction,19
measuring,19
usa,19
cardinal indices,18
happiness inequality,18
higher,18
scale,18
approach,17
aus,17
case,17
esp,17
literature,17
social,17
survey,17
achievement,16
distribution,16
levels,16
measurement happiness,16
paper,16
used,16
value bound bound,16
actual actual,15
actual value,15
answers,15
country,15
example,15
fact,15
population,15
research,15
results,15
values,15
wellbeing,15
introduced,14
numbers,14
